gene,cell_type,source,source_version
NCAN,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PNPLA7,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SLC7A10,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
GFAP,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SLC6A11,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
IQCA1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
MEIS2,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
RERG,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
DTNA,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
APC,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
NHSL1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ARHGEF4,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
MMD2,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
BMPR1B,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SLCO1C1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
NPFF,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
STON2,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SLC14A1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PRDM16,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ITPKB,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SFXN5,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
GASK1A,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
LRIG1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PSD2,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
RGS20,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SLC39A12,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CAMK2G,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PAMR1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
GPM6A,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SLC7A11,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
